Match_addr,x,IN_City,score,IN_Address,IN_Postal,Subregion,y,Postal,PostalExt,ResultID,City
"22351 Wilmington Ave, Carson, California, 90745",-118.24407194700,Carson,100,22351 Wilmington Ave,90745,Los Angeles County,33.82240670910,90745,4309,293,Carson
"24760 Main St, Carson, California, 90745",-118.27528699200,Carson,99,24760 S Main St,90745,Los Angeles County,33.80076145000,90745,6321,311,Carson
"1165 E 230th St, Carson, California, 90745",-118.25281871400,Carson,100,1165 E 230th St,90745,Los Angeles County,33.81726721950,90745,5009,231,Carson
"1651 E Glenn Curtiss St, Carson, California, 90746",-118.23961792000,Carson,100,1651 E Glenn Curtiss St,90746,Los Angeles County,33.86097715670,90746,4014,248,Carson
"2132 E Dominguez St, Long Beach, California, 90810",-118.23184258200,Carson,100,2132 E Dominguez St,90810,Los Angeles County,33.83917613130,90810,1022,282,Long Beach
"105 S Puente St, Brea, California, 92821",-117.91879501100,Brea,100,105 S Puente St,92821,Orange County,33.92105299230,92821,3844,143,Brea
"5555 Bandini Blvd, Bell Gardens, California, 90201",-118.16855968800,Bell Gardens,100,5555 Bandini Blvd,90201,Los Angeles County,33.99629119780,90201,,124,Bell Gardens
"8457 Eastern Ave, Bell Gardens, California, 90201",-118.16390466300,Bell Gardens,99,8457 S Eastern Ave,90201,Los Angeles County,33.95384003530,90201,7137,125,Bell Gardens
"2839 E El Presidio St, Long Beach, California, 90810",-118.21014619300,Carson,99,2839 El Presidio St,90810,Los Angeles County,33.84165629460,90810,1120,317,Long Beach
"6230 N Irwindale Ave, Azusa, California, 91702",-117.93367255400,Azusa,100,6230 N Irwindale Ave,91702,Los Angeles County,34.12596948640,91702,3208,94,Azusa
"3300 E Birch St, Brea, California, 92821",-117.85126998000,Brea,100,3300 E Birch St,92821,Orange County,33.91831248720,92821,6254,158,Brea
"1480 Mountain View Ave, Redlands, California, 92374",-117.24360253500,Redlands,100,1480 Mountain View Ave,92374,San Bernardino County,34.07367001480,92374,5002,2502,Redlands
"26801 Agoura Rd, Agoura Hills, California, 91301",-118.71025579900,Calabasas,100,26801 Agoura Rd,91301,Los Angeles County,34.13856710970,91301,5122,206,Agoura Hills
"S Cactus Ave, Bloomington, California, 92316",-117.38335987400,Bloomington,95,3520 S Cactus Ave,92316,San Bernardino County,34.06052998810,92316,,141,Bloomington
"862 W 4th St, Beaumont, California, 92223",-116.99291573700,Beaumont,100,862 W 4th St,92223,Riverside County,33.92628824520,92223,2636,108,Beaumont
"1130 E Watson Center Rd, Carson, California, 90745",-118.25412176500,Carson,100,1130 Watson Center Rd,90745,Los Angeles County,33.82021651780,90745,4204,229,Carson
