Match_addr,x,IN_City,score,IN_Address,IN_Postal,Subregion,y,Postal,PostalExt,ResultID,City
"320 S 6th Ave, La Puente, California, 91746",-117.98192850100,City of Industry,100,320 S 6th Ave,91746,Los Angeles County,34.03354145430,91746,,663,La Puente
"875 S Azusa Ave, Rowland Heights, California, 91748",-117.92964981600,City Of Industry,100,875 S Azusa Ave,91748,Los Angeles County,34.00612375320,91748,,700,Rowland Heights
"888 Kearn Creek Ct, Rowland Heights, California, 91748",-117.93443111600,City of Industry,100,888 Kearn Creek Ct,91748,Los Angeles County,34.00563238840,91748,1036,702,Rowland Heights
"780 Nogales St, Rowland Heights, California, 91748",-117.88534602100,City of Industry,100,780 Nogales St,91748,Los Angeles County,34.00121101830,91748,1306,696,Rowland Heights
"2340 S Eastern Ave, Los Angeles, California, 90040",-118.15933350400,Commerce,100,2340 S Eastern Ave,90040,Los Angeles County,34.00268912500,90040,1431,741,Los Angeles
"15530 Salt Lake Ave, Hacienda Heights, California, 91745",-117.96635636000,City of Industry,99,15530 E Salt Lake Ave,91745,Los Angeles County,34.01800520910,91745,1113,565,Hacienda Heights
"801 Sentous St, Rowland Heights, California, 91748",-117.88136095500,City of Industry,100,801 Sentous St,91748,Los Angeles County,33.99983480860,91748,,698,Rowland Heights
"18383 E Railroad St, Rowland Heights, California, 91748",-117.90295408400,City of Industry,100,18383 E Railroad St,91748,Los Angeles County,33.99721042220,91748,,604,Rowland Heights
"17560 Rowland St, Rowland Heights, California, 91748",-117.92000401700,City Of Industry,100,17560 Rowland St,91748,Los Angeles County,34.00165877960,91748,1114,593,Rowland Heights
"139 N Sunset Ave, La Puente, California, 91744",-117.97409164600,City Of Industry,98,139 N Sunset Blvd,91744,Los Angeles County,34.03515682100,91744,1850,525,La Puente
"19301 E Walnut Dr S, Rowland Heights, California, 91748",-117.88043397400,City of Industry,99,19301 E Walnut Dr,91748,Los Angeles County,33.99701600150,91748,,622,Rowland Heights
"5815 Smithway St, Los Angeles, California, 90040",-118.14451999900,Commerce,100,5815 Smithway St,90040,Los Angeles County,34.00733399860,90040,1605,794,Los Angeles
"17817 Valley View Ave, Cerritos, California, 90703",-118.02885744600,Cerritos,100,17817 Valley View Ave,90703,Los Angeles County,33.86913598700,90703,7005,364,Cerritos
"14840 Don Julian Rd, La Puente, California, 91746",-117.97706608600,City Of Industry,100,14840 Don Julian Rd,91746,Los Angeles County,34.02663768920,91746,3109,549,La Puente
"16195 Stephens St, Hacienda Heights, California, 91745",-117.95023745800,City Of Industry,99,16195 E Stephens St,91745,Los Angeles County,34.01305577900,91745,1718,578,Hacienda Heights
"5600 E Olympic Blvd, Los Angeles, California, 90022",-118.15020133700,Commerce,100,5600 E Olympic Blvd,90022,Los Angeles County,34.01452512670,90022,5128,785,Los Angeles
"4900 Alexander St, Los Angeles, California, 90040",-118.15770305600,Commerce,100,4900 Alexander St,90040,Los Angeles County,33.98772407510,90040,3022,764,Los Angeles
"408 Brea Canyon Rd, Walnut, California, 91789",-117.84469538300,City of Industry,100,408 Brea Canyon Rd,91789,Los Angeles County,34.01203762930,91789,3088,677,Walnut
"13400 E Nelson Ave, La Puente, California, 91746",-117.99012076700,City of Industry,100,13400 E Nelson Ave,91746,Los Angeles County,34.04964937180,91746,,522,La Puente
"355 N Vineland Ave, La Puente, California, 91746",-117.98940722800,City of Industry,100,355 N Vineland Ave,91746,Los Angeles County,34.05119086660,91746,,668,La Puente
"800 Turnbull Canyon Rd, Hacienda Heights, California, 91745",-117.97365892600,City of Industry,100,800 Turnbull Canyon Rd,91745,Los Angeles County,34.01830230560,91745,1435,697,Hacienda Heights
"415 S 7th Ave, La Puente, California, 91746",-117.97975988400,City of Industry,100,415 S 7th Ave,91746,Los Angeles County,34.02994063190,91746,,678,La Puente
"13155 E Railroad Ave, La Puente, California, 91746",-117.99877393900,City of Industry,100,13155 E Railroad Ave,91746,Los Angeles County,34.05222138980,91746,,518,La Puente
"1409 S Lilac Ave, Bloomington, California, 92316",-117.37898854400,Bloomington,100,1409 S Lilac Ave,92316,San Bernardino County,34.07500093530,92316,,128,Bloomington
"6100 S Malt Ave, Los Angeles, California, 90040",-118.14650273800,Commerce,100,6100 S Malt Ave,90040,Los Angeles County,33.97919766790,90040,3508,814,Los Angeles
"85901 Avenue 53, Coachella, California, 92236",-116.16591903200,Coachella,100,85901 Avenue 53,92236,Riverside County,33.66215901150,92236,2607,707,Coachella
"2638 Yates Ave, Los Angeles, California, 90040",-118.13676078700,Commerce,100,2638 Yates Ave,90040,Los Angeles County,33.99076184440,90040,2622,749,Los Angeles
"2211 S Tubeway Ave, Los Angeles, California, 90040",-118.14390535400,Commerce,100,2211 S Tubeway Ave,90040,Los Angeles County,34.00213076450,90040,,737,Los Angeles
"4501 E Washington Blvd, Los Angeles, California, 90040",-118.17930615400,Commerce,100,4501 E Washington Blvd,90040,Los Angeles County,34.00694700610,90040,1022,762,Los Angeles
"5811 E 61st St, Los Angeles, California, 90040",-118.16071713800,Commerce,100,5811 E 61st St,90040,Los Angeles County,33.98087178240,90040,3411,793,Los Angeles
"2650 Commerce Way, Los Angeles, California, 90040",-118.15789692900,Commerce,100,2650 Commerce Way,90040,Los Angeles County,33.99784476220,90040,1413,750,Los Angeles
"18045 Rowland St, Rowland Heights, California, 91748",-117.90961615600,City of Industry,99,18045 E Rowland St,91748,Los Angeles County,34.00091119760,91748,1205,597,Rowland Heights
"6100 E Slauson Ave, Los Angeles, California, 90040",-118.15308085600,Commerce,100,6100 E Slauson Ave,90040,Los Angeles County,33.98481844640,90040,3010,812,Los Angeles
"18300 Central Ave, Carson, California, 90746",-118.24852374300,Carson,100,18300 Central Ave,90746,Los Angeles County,33.86354068940,90746,4008,256,Carson
"6289 E Slauson Ave, Los Angeles, California, 90040",-118.14794347400,Commerce,100,6289 E Slauson Ave,90040,Los Angeles County,33.98428630880,90040,3011,826,Los Angeles
"52200 Industrial Way, Coachella, California, 92236",-116.15923102800,Coachella,100,52200 Industrial Way,92236,Riverside County,33.66768746340,92236,2705,705,Coachella
"5605 Union Pacific Ave, Los Angeles, California, 90022",-118.15142828000,Commerce,100,5605 Union Pacific Ave,90022,Los Angeles County,34.01222483910,90022,5136,786,Los Angeles
"5945 S Malt Ave, Los Angeles, California, 90040",-118.14623049400,Commerce,100,5945 S Malt Ave,90040,Los Angeles County,33.98132587500,90040,3503,798,Los Angeles
"5500 Sheila St, Los Angeles, California, 90040",-118.16100963300,Commerce,100,5500 Sheila St,90040,Los Angeles County,33.99974812470,90040,1425,779,Los Angeles
"321 Vineland Ave, La Puente, California, 91746",-117.99182603000,City Of Industry,100,321 Vineland Ave,91746,Los Angeles County,34.05170398020,91746,2321,664,La Puente
"4900 Zambrano St, Los Angeles, California, 90040",-118.15329652200,Commerce,100,4900 Zambrano St,90040,Los Angeles County,33.98660178020,90040,3034,765,Los Angeles
"6666 E Washington Blvd, Los Angeles, California, 90040",-118.13400634300,Commerce,100,6666 E Washington Blvd,90040,Los Angeles County,34.00037669600,90040,1814,843,Los Angeles
"21700 Baker Pkwy, Walnut, California, 91789",-117.83181106600,City Of Industry,100,21700 Baker Pky,91789,Los Angeles County,34.01689023560,91789,,645,Walnut
"5500 Ferguson Dr, Los Angeles, California, 90022",-118.15741563700,Commerce,100,5500 Ferguson Dr,90022,Los Angeles County,34.01056876040,90022,5140,778,Los Angeles
"1925 E Dominguez St, Long Beach, California, 90810",-118.23542274500,Carson,100,1925 E Dominguez St,90810,Los Angeles County,33.83923476280,90810,1003,261,Long Beach
"12836 Alondra Blvd, Cerritos, California, 90703",-118.05898100000,Cerritos,100,12836 Alondra Blvd,90703,Los Angeles County,33.88768249840,90703,2107,333,Cerritos
"14955 Salt Lake Ave, La Puente, California, 91746",-117.97686642900,City Of Industry,99,14955 E Salt Lake Ave,91746,Los Angeles County,34.02122390180,91746,3115,554,La Puente
"620 S Hacienda Blvd, Hacienda Heights, California, 91745",-117.96043446200,City of Industry,100,620 S Hacienda Blvd,91745,Los Angeles County,34.01620632690,91745,1126,689,Hacienda Heights
"19901 Harrison Ave, Walnut, California, 91789",-117.86458379500,City Of Industry,100,19901 Harrison Ave,91789,Los Angeles County,34.00461088590,91789,2848,632,Walnut
"5900 E Slauson Ave, Los Angeles, California, 90040",-118.15845306900,Commerce,100,5900 E Slauson Ave,90040,Los Angeles County,33.98538552410,90040,3020,797,Los Angeles
"18021 Valley View Ave, Cerritos, California, 90703",-118.02884747200,Cerritos,100,18021 Valley View Ave,90703,Los Angeles County,33.86769601790,90703,7007,365,Cerritos
"2222 Davie Ave, Los Angeles, California, 90040",-118.13573777700,Commerce,100,2222 Davie Ave,90040,Los Angeles County,34.00180829870,90040,1708,739,Los Angeles
"1439 S Herbert Ave, Los Angeles, California, 90023",-118.18376306400,Commerce,100,1439 S Herbert Ave,90023,Los Angeles County,34.01392028850,90023,4047,731,Los Angeles
"2727 S Malt Ave, Los Angeles, California, 90040",-118.13857570000,Commerce,99,2727 Malt Ave,90040,Los Angeles County,33.99076878210,90040,3207,751,Los Angeles
"1177 S Jellick Ave, Rowland Heights, California, 91748",-117.90045384900,City Of Industry,100,1177 S Jellick Ave,91748,Los Angeles County,33.99578909730,91748,1212,510,Rowland Heights
"15930 Valley Blvd, La Puente, California, 91744",-117.95394794400,City Of Industry,100,15930 Valley Blvd,91744,Los Angeles County,34.01629470690,91744,,572,La Puente
"4901 Alexander St, Los Angeles, California, 90040",-118.15777354800,Commerce,98,4901 Alexander Rd,90040,Los Angeles County,33.98761997190,90040,3023,766,Los Angeles
"2601 S Malt Ave, Los Angeles, California, 90040",-118.13682583100,Commerce,100,2601 S Malt Ave,90040,Los Angeles County,33.99368469790,90040,3205,748,Los Angeles
"5560 E Slauson Ave, Los Angeles, California, 90040",-118.16462524300,Commerce,100,5560 E Slauson Ave,90040,Los Angeles County,33.98602192350,90040,2921,784,Los Angeles
"501 Cheryl Ln, Walnut, California, 91789",-117.84804152200,City Of Industry,100,501 Cheryl Ln,91789,Los Angeles County,34.01170390380,91789,3031,684,Walnut
"14750 Nelson Ave, La Puente, California, 91744",-117.96928709300,City of Industry,100,14750 Nelson Ave,91744,Los Angeles County,34.03483854330,91744,4319,546,La Puente
"24600 Main St, Carson, California, 90745",-118.27534725800,Carson,99,24600 S Main St,90745,Los Angeles County,33.80224186170,90745,6308,309,Carson
"19201 S Reyes Ave, Compton, California, 90221",-118.20837166100,Compton,100,19201 S Reyes Ave,90221,Los Angeles County,33.85517378980,90221,5807,875,Compton
"5550 Ferguson Dr, Los Angeles, California, 90022",-118.15301522500,Commerce,100,5550 Ferguson Dr,90022,Los Angeles County,34.01022114510,90022,5140,782,Los Angeles
"6608 E 26th St, Los Angeles, California, 90040",-118.14090094400,Commerce,100,6608 E 26th St,90040,Los Angeles County,33.98939324730,90040,3216,842,Los Angeles
"5500 Union Pacific Ave, Los Angeles, California, 90022",-118.15423521100,Commerce,100,5500 Union Pacific Ave,90022,Los Angeles County,34.01275516210,90022,5139,780,Los Angeles
"5510 Grace Pl, Los Angeles, California, 90022",-118.15023221700,Commerce,100,5510 Grace Pl,90022,Los Angeles County,34.01712750810,90022,4112,781,Los Angeles
"880 S Azusa Ave, Rowland Heights, California, 91748",-117.92928221500,City Of Industry,100,880 S Azusa Ave,91748,Los Angeles County,34.00611921850,91748,,701,Rowland Heights
"6000 Rickenbacker Rd, Los Angeles, California, 90040",-118.15513308900,Commerce,100,6000 Rickenbacker Rd,90040,Los Angeles County,33.98847226980,90040,3030,804,Los Angeles
"6000 Bandini Blvd, Los Angeles, California, 90040",-118.15321951300,Commerce,100,6000 Bandini Blvd,90040,Los Angeles County,33.99079932620,90040,2905,801,Los Angeles
"5804 E Slauson Ave, Los Angeles, California, 90040",-118.15981139700,Commerce,100,5804 E Slauson Ave,90040,Los Angeles County,33.98549697270,90040,3018,792,Los Angeles
"250 W Manville St, Compton, California, 90220",-118.22474453500,Compton,100,250 W Manville St,90220,Los Angeles County,33.87015283750,90220,5600,889,Compton
"2855 Vail Ave, Los Angeles, California, 90040",-118.13133886900,Commerce,100,2855 Vail Ave,90040,Los Angeles County,33.99058662080,90040,2613,752,Los Angeles
"768 Turnbull Canyon Rd, Hacienda Heights, California, 91745",-117.97277337800,City of Industry,100,768 Turnbull Canyon Rd,91745,Los Angeles County,34.01907142900,91745,1401,695,Hacienda Heights
"6505 Gayhart St, Los Angeles, California, 90040",-118.13746847100,Commerce,100,6505 Gayhart St,90040,Los Angeles County,34.00053501780,90040,2507,838,Los Angeles
"166 N Baldwin Park Blvd, La Puente, California, 91746",-117.99663898700,City of Industry,100,166 N Baldwin Park Blvd,91746,Los Angeles County,34.05204857350,91746,1401,582,La Puente
"6101 Peachtree St, Los Angeles, California, 90040",-118.15326282700,Commerce,100,6101 Peachtree St,90040,Los Angeles County,33.98277627960,90040,4013,815,Los Angeles
"3423 Garfield Ave, Los Angeles, California, 90040",-118.14066382000,Commerce,99,3423 S Garfield Ave,90040,Los Angeles County,33.98377372600,90040,3103,757,Los Angeles
"5424 E Slauson Ave, Los Angeles, California, 90040",-118.16750552400,Commerce,100,5424 E Slauson Ave,90040,Los Angeles County,33.98638305440,90040,2919,774,Los Angeles
"6201 Randolph St, Los Angeles, California, 90040",-118.15269597500,Commerce,100,6201 Randolph St,90040,Los Angeles County,33.97826688280,90040,3514,821,Los Angeles
"550 S 7th Ave, La Puente, California, 91746",-117.98129928200,City Of Industry,100,550 S 7th Ave,91746,Los Angeles County,34.02825191800,91746,3120,687,La Puente
"5500 E Slauson Ave, Los Angeles, California, 90040",-118.16621001700,Commerce,100,5500 E Slauson Ave,90040,Los Angeles County,33.98625824790,90040,2921,777,Los Angeles
"20499 S Reeves Ave, Long Beach, California, 90810",-118.22799310900,Carson,99,20499 Reeves Ave,90810,Los Angeles County,33.84465513000,90810,1011,269,Long Beach
"2131 Garfield Ave, Los Angeles, California, 90040",-118.13187514300,Commerce,100,2131 Garfield Ave,90040,Los Angeles County,34.00216420830,90040,1805,734,Los Angeles
"6315 Bandini Blvd, Los Angeles, California, 90040",-118.14628589800,Commerce,100,6315 Bandini Blvd,90040,Los Angeles County,33.98852928260,90040,3115,828,Los Angeles
"6108 Peachtree St, Los Angeles, California, 90040",-118.15353382400,Commerce,100,6108 Peachtree St,90040,Los Angeles County,33.98271735050,90040,4014,816,Los Angeles
"20821 S Santa Fe Ave, Long Beach, California, 90810",-118.21268926300,Carson,100,20821 S Santa Fe Ave,90810,Los Angeles County,33.84342613340,90810,1130,276,Long Beach
"333 Turnbull Canyon Rd, Hacienda Heights, California, 91745",-117.96799041200,City of Industry,99,333 S Turnbull Canyon Rd,91745,Los Angeles County,34.02390845770,91745,1010,666,Hacienda Heights
"6300 E Slauson Ave, Los Angeles, California, 90040",-118.14771070600,Commerce,99,6300 Slauson Ave,90040,Los Angeles County,33.98397459270,90040,3014,827,Los Angeles
"888 S Azusa Ave, Rowland Heights, California, 91748",-117.92935388900,City Of Industry,100,888 S Azusa Ave,91748,Los Angeles County,34.00603652310,91748,,703,Rowland Heights
"19545 San Jose Ave, Rowland Heights, California, 91748",-117.87513258800,City Of Industry,100,19545 San Jose Ave,91748,Los Angeles County,33.99935593550,91748,1423,628,Rowland Heights
"5471 Ferguson Dr, Los Angeles, California, 90022",-118.15613748400,Commerce,100,5471 Ferguson Dr,90022,Los Angeles County,34.01054233970,90022,5118,775,Los Angeles
"2930 Vail Ave, Los Angeles, California, 90040",-118.13229608300,Commerce,100,2930 Vail Ave,90040,Los Angeles County,33.98887646100,90040,2616,753,Los Angeles
"19840 S Rancho Way, Compton, California, 90220",-118.22209811700,Compton,100,19840 S Rancho Way,90220,Los Angeles County,33.85001523130,90220,6320,879,Compton
"6021 S Malt Ave, Los Angeles, California, 90040",-118.14641782900,Commerce,100,6021 S Malt Ave,90040,Los Angeles County,33.98010035700,90040,3505,807,Los Angeles
"665 N Baldwin Park Blvd, La Puente, California, 91746",-117.99017121000,City of Industry,100,665 N Baldwin Park Blvd,91746,Los Angeles County,34.05897060640,91746,1502,690,La Puente
"4940 Sheila St, Los Angeles, California, 90040",-118.17160640400,Commerce,100,4940 Sheila St,90040,Los Angeles County,34.00270312400,90040,1112,768,Los Angeles
"6446 E Washington Blvd, Los Angeles, California, 90040",-118.13960116300,Commerce,100,6446 E Washington Blvd,90040,Los Angeles County,33.99750990510,90040,1820,835,Los Angeles
"6000 Bandini Blvd, Los Angeles, California, 90040",-118.15321951300,Commerce,100,6000 Bandini Blvd,90040,Los Angeles County,33.99079932620,90040,2905,800,Los Angeles
"415 W Walnut St, Compton, California, 90220",-118.22886928700,Compton,100,415 W Walnut St,90220,Los Angeles County,33.87647072220,90220,5220,911,Compton
"7400 E Slauson Ave, Los Angeles, California, 90040",-118.13182761800,Commerce,100,7400 E Slauson Ave,90040,Los Angeles County,33.97800613850,90040,,851,Los Angeles
"1650 S Central Ave, Compton, California, 90220",-118.24865762900,Compton,100,1650 S Central Ave,90220,Los Angeles County,33.88215941390,90220,5317,859,Compton
"19465 E Walnut Dr N, Walnut, California, 91789",-117.87742187100,City Of Industry,100,19465 E Walnut Dr N,91789,Los Angeles County,33.99563258560,91789,,626,Walnut
"220 W Victoria St, Compton, California, 90220",-118.22713924500,Compton,100,220 W Victoria St,90220,Los Angeles County,33.86437183890,90220,6034,885,Compton
"6605 Flotilla St, Los Angeles, California, 90040",-118.13026925500,Commerce,100,6605 Flotilla St,90040,Los Angeles County,34.00567706400,90040,1815,841,Los Angeles
"2511 S Edison Way, Compton, California, 90220",-118.22787584700,Compton,100,2511 S Edison Way,90220,Los Angeles County,33.86575937920,90220,6035,891,Compton
"19317 Arenth Ave, Rowland Heights, California, 91748",-117.88123276900,City of Industry,99,19317 E Arenth Ave,91748,Los Angeles County,33.99990423770,91748,1401,623,Rowland Heights
"6001 E Slauson Ave, Los Angeles, California, 90040",-118.15521237400,Commerce,99,6001 Slauson Ave,90040,Los Angeles County,33.98520891740,90040,3007,805,Los Angeles
"7208 E Gage Ave, Los Angeles, California, 90040",-118.12811379900,Commerce,99,7208 E Gage,90040,Los Angeles County,33.97410469090,90040,3813,848,Los Angeles
"2500 S Edison Way, Compton, California, 90220",-118.22777455100,Compton,100,2500 Edison Way,90220,Los Angeles County,33.86563694310,90220,,890,Compton
"14350 Lomitas Ave, La Puente, California, 91746",-117.98768411300,City Of Industry,100,14350 Lomitas Ave,91746,Los Angeles County,34.02902992630,91746,,531,La Puente
"399 W Artesia Blvd, Compton, California, 90220",-118.22890371000,Compton,100,399 W Artesia Blvd,90220,Los Angeles County,33.87441956670,90220,5525,909,Compton
"6501 Flotilla St, Los Angeles, California, 90040",-118.13444361000,Commerce,100,6501 Flotilla St,90040,Los Angeles County,34.00594700310,90040,1713,837,Los Angeles
"660 W Artesia Blvd, Compton, California, 90220",-118.23256124700,Compton,100,660 W Artesia Blvd,90220,Los Angeles County,33.87334814480,90220,5504,919,Compton
"303 W Artesia Blvd, Compton, California, 90220",-118.22801976400,Compton,100,303 W Artesia Blvd,90220,Los Angeles County,33.87441876520,90220,5525,903,Compton
"3412 Garfield Ave, Los Angeles, California, 90040",-118.14009535600,Commerce,100,3412 Garfield Ave,90040,Los Angeles County,33.98449868500,90040,3104,756,Los Angeles
"7101 E Slauson Ave, Los Angeles, California, 90040",-118.13664419500,Commerce,100,7101 E Slauson Ave,90040,Los Angeles County,33.98016799890,90040,3622,847,Los Angeles
"300 W Artesia Blvd, Compton, California, 90220",-118.22579289300,Compton,100,300 W Artesia Blvd,90220,Los Angeles County,33.87347917790,90220,5530,898,Compton
"2270 E 220th St, Long Beach, California, 90810",-118.23214231900,Carson,100,2270 E 220th St,90810,Los Angeles County,33.82788604300,90810,1638,299,Long Beach
"301 W Walnut St, Compton, California, 90220",-118.22746194800,Compton,100,301 W Walnut St,90220,Los Angeles County,33.87648037820,90220,5219,900,Compton
"6250 Bandini Blvd, Los Angeles, California, 90040",-118.14728175200,Commerce,100,6250 Bandini Blvd,90040,Los Angeles County,33.98881510550,90040,,824,Los Angeles
"17707 S Santa Fe Ave, Compton, California, 90221",-118.21372962500,Compton,100,17707 S Santa Fe Ave,90221,Los Angeles County,33.87100393600,90221,5419,866,Compton
"245 N Baldwin Park Blvd, La Puente, California, 91746",-117.99585033400,City of Industry,100,245 N Baldwin Park Blvd,91746,Los Angeles County,34.05305942760,91746,1404,655,La Puente
"18221 S Susana Rd, Compton, California, 90221",-118.20503080200,Compton,100,18221 S Susana Rd,90221,Los Angeles County,33.86580187540,90221,5522,868,Compton
"2400 Yates Ave, Los Angeles, California, 90040",-118.13305137600,Commerce,100,2400 Yates Ave,90040,Los Angeles County,33.99700963120,90040,,742,Los Angeles
"2600 Commerce Way, Los Angeles, California, 90040",-118.15759501300,Commerce,100,2600 Commerce Way,90040,Los Angeles County,33.99576801990,90040,1413,746,Los Angeles
"255 W Manville St, Compton, California, 90220",-118.22426869500,Compton,100,255 W Manville St,90220,Los Angeles County,33.87030459190,90220,5615,892,Compton
"250 W Apra St, Compton, California, 90220",-118.22719909200,Compton,100,250 W Apra St,90220,Los Angeles County,33.86807898710,90220,5521,888,Compton
"7026 E Slauson Ave, Los Angeles, California, 90040",-118.13741320100,Commerce,100,7026 E Slauson Ave,90040,Los Angeles County,33.98041583650,90040,,846,Los Angeles
"675 W Manville St, Compton, California, 90220",-118.23302602300,Compton,100,675 W Manville St,90220,Los Angeles County,33.86992137130,90220,5507,920,Compton
"4560 Hamner Ave, Mira Loma, California, 91752",-117.55831248900,Eastvale,100,4560 Hamner Ave,91752,Riverside County,34.00563201120,91752,1038,1047,Mira Loma
"1620 S Wilmington Ave, Compton, California, 90220",-118.23635129200,Compton,100,1620 S Wilmington Ave,90220,Los Angeles County,33.87944983500,90220,5115,858,Compton
"6121 Randolph St, Los Angeles, California, 90040",-118.15442891300,Commerce,100,6121 Randolph St,90040,Los Angeles County,33.97849033070,90040,3513,817,Los Angeles
"5353 Jillson St, Los Angeles, California, 90040",-118.16269858700,Commerce,100,5353 Jillson St,90040,Los Angeles County,34.00230171350,90040,2115,773,Los Angeles
"1714 S Anderson Ave, Compton, California, 90220",-118.24254543400,Compton,100,1714 S Anderson Ave,90220,Los Angeles County,33.87828496000,90220,5006,863,Compton
"22707 S Wilmington Ave, Carson, California, 90745",-118.24682891000,Carson,100,22707 S Wilmington Ave,90745,Los Angeles County,33.81909678040,90745,,300,Carson
"5055 Goodman Way, Mira Loma, California, 91752",-117.55481106900,Eastvale,100,5055 Goodman Way,91752,Riverside County,33.99854790750,91752,,1050,Mira Loma
"6015 Randolph St, Los Angeles, California, 90040",-118.15688883800,Commerce,100,6015 Randolph St,90040,Los Angeles County,33.97871348730,90040,3417,806,Los Angeles
"4130 Noakes St, Los Angeles, California, 90023",-118.18570892200,Commerce,100,4130 Noakes St,90023,Los Angeles County,34.01320233660,90023,,760,Los Angeles
"6400 E Washington Blvd, Los Angeles, California, 90040",-118.14057715200,Commerce,100,6400 E Washington Blvd,90040,Los Angeles County,33.99685485940,90040,1820,832,Los Angeles
"2187 Garfield Ave, Los Angeles, California, 90040",-118.13274803500,Commerce,99,2187 S Garfield Ave,90040,Los Angeles County,34.00080860310,90040,1805,735,Los Angeles
"18626 S Reyes Ave, Compton, California, 90221",-118.21312160100,Compton,100,18626 S Reyes Ave,90221,Los Angeles County,33.86160547560,90221,5608,872,Compton
"5631 Ferguson Dr, Los Angeles, California, 90022",-118.15161226200,Commerce,100,5631 Ferguson Dr,90022,Los Angeles County,34.01014822260,90022,5132,788,Los Angeles
"18201 S Santa Fe Ave, Compton, California, 90221",-118.21292898500,Compton,100,18201 S Santa Fe Ave,90221,Los Angeles County,33.86622000670,90221,,867,Compton
"2300 Yates Ave, Los Angeles, California, 90040",-118.13260553400,Commerce,100,2300 Yates Ave,90040,Los Angeles County,33.99770374730,90040,1916,740,Los Angeles
"1200 W Artesia Blvd, Compton, California, 90220",-118.24319813300,Compton,100,1200 W Artesia Blvd,90220,Los Angeles County,33.87304966520,90220,5306,853,Compton
"6130 Sheila St, Los Angeles, California, 90040",-118.14744708900,Commerce,99,6130 E Sheila St,90040,Los Angeles County,33.99505732720,90040,2407,818,Los Angeles
"6550 E Washington Blvd, Los Angeles, California, 90040",-118.13723495100,Commerce,99,6550 Washington Blvd,90040,Los Angeles County,33.99908884610,90040,1822,840,Los Angeles
"6100 Garfield Ave, Los Angeles, California, 90040",-118.14360494600,Commerce,100,6100 Garfield Ave,90040,Los Angeles County,33.97905857020,90040,,813,Los Angeles
"500 S Hacienda Blvd, Hacienda Heights, California, 91745",-117.95960465400,City of Industry,100,500 S Hacienda Blvd,91745,Los Angeles County,34.01755669340,91745,1124,683,Hacienda Heights
"12300 Riverside Dr, Mira Loma, California, 91752",-117.55214600700,Eastvale,100,12300 Riverside Dr,91752,Riverside County,34.01614501330,91752,1006,1030,Mira Loma
"4944 Triggs St, Los Angeles, California, 90022",-118.16492162500,Commerce,100,4944 Triggs St,90022,Los Angeles County,34.01267247980,90022,4832,769,Los Angeles
"4542 Dunham St, Los Angeles, California, 90040",-118.17476701800,Commerce,100,4542 Dunham St,90040,Los Angeles County,34.01285251790,90040,5415,763,Los Angeles
"1371 Charles Willard St, Carson, California, 90746",-118.24608662100,Carson,100,1371 Charles Willard St,90746,Los Angeles County,33.86478858710,90746,4023,237,Carson
"18750 Orange St, Bloomington, California, 92316",-117.39540266600,Bloomington,100,18750 Orange St,92316,San Bernardino County,34.06504734680,92316,,134,Bloomington
"7400 Bandini Blvd, Los Angeles, California, 90040",-118.12990128900,Commerce,100,7400 Bandini Blvd,90040,Los Angeles County,33.98049941940,90040,3322,850,Los Angeles
"17300 Chestnut St, Rowland Heights, California, 91748",-117.92511701700,City Of Industry,100,17300 Chestnut St,91748,Los Angeles County,34.00705904840,91748,,587,Rowland Heights
"6141 Randolph St, Los Angeles, California, 90040",-118.15400775000,Commerce,100,6141 Randolph St,90040,Los Angeles County,33.97844447780,90040,3513,819,Los Angeles
"3735 Workman Mill Rd, Whittier, California, 90601",-118.04046769800,City Of Industry,100,3735 Workman Mill Rd,90601,Los Angeles County,34.01783102990,90601,,670,Whittier
"1700 N Alameda St, Compton, California, 90222",-118.22155069500,Compton,100,1700 N Alameda St,90222,Los Angeles County,33.90668817050,90222,4128,860,Compton
"16610 E Chestnut St, Rowland Heights, California, 91748",-117.94178430900,City of Industry,100,16610 E Chestnut St,91748,Los Angeles County,34.00803752450,91748,1002,583,Rowland Heights
"1935 S Tubeway Ave, Los Angeles, California, 90040",-118.14099557600,Commerce,99,1935 Tubeway Ave,90040,Los Angeles County,34.00719024890,90040,1611,732,Los Angeles
"6000 E Slauson Ave, Los Angeles, California, 90040",-118.15555636700,Commerce,100,6000 E Slauson Ave,90040,Los Angeles County,33.98507300480,90040,3008,803,Los Angeles
"921 W Artesia Blvd, Compton, California, 90220",-118.23820692400,Compton,100,921 W Artesia Blvd,90220,Los Angeles County,33.87420819110,90220,5105,926,Compton
"15905 Commerce Way, Cerritos, California, 90703",-118.04307742900,Cerritos,100,15905 Commerce Way,90703,Los Angeles County,33.88755400380,90703,2318,349,Cerritos
"14940 Summit Dr, Corona, California, 92880",-117.60590158300,Eastvale,100,14940 Summit Dr,92880,Riverside County,33.97132978490,92880,3099,1039,Corona
"425 W Carob St, Compton, California, 90220",-118.23063952800,Compton,100,425 W Carob St,90220,Los Angeles County,33.87884189560,90220,5214,913,Compton
"12350 E Philadelphia St, Mira Loma, California, 91752",-117.55252862300,Eastvale,99,12350 Philadelphia St,91752,Riverside County,34.03339750530,91752,,1031,Mira Loma
"355 W Carob St, Compton, California, 90220",-118.22903146000,Compton,100,355 W Carob St,90220,Los Angeles County,33.87888816370,90220,5212,908,Compton
